,user_id,recs
130,404,"[1003600, 951412, 905913, 1051516, 1081177]"
131,1355,"[1056509, 914190, 867188, 981760, 1082185]"
132,1091,"[1075368, 5569230, 6533889, 951590, 6534178]"
133,79,"[1070015, 1070820, 6533889, 862349, 1053690]"
134,1228,"[1005186, 5569471, 866227, 1133018, 6534178]"
135,1046,"[1126899, 1005186, 986947, 6034857, 6533889]"
136,389,"[1126899, 6533889, 916993, 1058997, 1122358]"
137,1618,"[862349, 971922, 1110843, 1138443, 903325]"
138,2479,"[1040807, 5569374, 1101010, 909714, 951590]"
139,426,"[1005186, 862349, 908531, 1057260, 995965]"
140,550,"[835098, 849843, 995242, 899624, 1055863]"
141,553,"[1036501, 951590, 1075368, 953476, 1065593]"
142,1956,"[1126899, 1070820, 933835, 5569374, 8177622]"
143,2215,"[890695, 1077975, 1051516, 1003600, 1133018]"
144,451,"[1026118, 1070820, 962229, 1095275, 999104]"
145,891,"[861445, 825541, 995965, 866211, 8090537]"
146,2102,"[962229, 940947, 904360, 1003600, 854852]"
147,1580,"[1005186, 882441, 1132770, 6534166, 865330]"
148,669,"[1126899, 870780, 951412, 1018740, 1112238]"
149,396,"[1075368, 1009449, 908846, 1051516, 825541]"
150,1042,"[862349, 839849, 1095275, 1119051, 861272]"
151,432,"[882441, 1015247, 1075368, 861272, 918733]"
152,1459,"[885290, 874972, 870515, 872137, 1058997]"
153,345,"[6602697, 1002558, 1003188, 1055863, 1051069]"
154,850,"[999971, 995242, 839849, 986912, 849843]"
155,2401,"[1119051, 5585510, 845208, 989101, 6533889]"
156,2412,"[844165, 1122358, 1092026, 1106523, 1053690]"
157,2154,"[5569374, 1133018, 1105488, 890610, 930118]"
158,2420,"[1070015, 951590, 1022003, 6533765, 944534]"
159,569,"[999104, 1041259, 1029743, 1070820, 951412]"
160,1547,"[893501, 894236, 6534178, 1023958, 995242]"
161,975,"[6533889, 5569471, 5569327, 873627, 995965]"
162,511,"[879755, 6533765, 1110572, 1120741, 844165]"
163,2132,"[1133018, 832678, 986947, 1112238, 879948]"
164,161,"[868764, 976998, 9677202, 953476, 999971]"
165,2301,"[9527494, 1110572, 983584, 1070015, 910032]"
166,888,"[5582789, 5590287, 1003188, 901062, 5585635]"
167,2483,"[849843, 995242, 862349, 1082185, 961554]"
168,710,"[1110572, 1028816, 1106523, 874736, 925626]"
169,949,"[971922, 933835, 861272, 940947, 833025]"
170,2198,"[874736, 1065593, 1056509, 1077555, 953476]"
171,1367,"[1126899, 6534178, 1110572, 1058997, 940947]"
172,594,"[8090537, 8090521, 1085604, 1106523, 8090509]"
173,972,"[862349, 868764, 1107553, 982790, 839849]"
174,418,"[12263788, 1058997, 971922, 940947, 1003188]"
175,2459,"[839849, 6533765, 1085604, 882441, 1029743]"
176,2460,"[5569471, 5569230, 1091365, 9526411, 1082212]"
177,1425,"[951590, 5569471, 1101010, 8090537, 845193]"
178,1378,"[8011397, 5584027, 5587133, 5582789, 1062002]"
179,560,"[999104, 861272, 1029743, 6534178, 1053690]"
180,982,"[1075368, 962229, 873627, 9677202, 1058997]"
181,855,"[1005186, 916993, 986912, 1029743, 9526410]"
182,728,"[1070015, 861445, 1085604, 6534178, 986912]"
183,1029,"[885290, 1126899, 1040807, 1058997, 1101010]"
184,2274,"[1009449, 1028816, 933835, 1101010, 951590]"
185,1475,"[1057260, 6533889, 1070820, 1056509, 5590287]"
186,463,"[6534166, 1070015, 1051516, 1095275, 5569471]"
187,2116,"[916993, 12263788, 1070820, 862349, 1028816]"
188,1643,"[1016800, 926905, 896085, 1106523, 1107553]"
189,91,"[1056651, 989101, 1058997, 6534178, 1029743]"
190,638,"[1119051, 971922, 1029743, 885290, 1009449]"
191,1534,"[1070820, 1005186, 824005, 862349, 6534178]"
192,1297,"[870515, 1026118, 1112238, 861272, 1003600]"
193,603,"[1070015, 5592931, 1053763, 989075, 999971]"
194,1557,"[1026118, 1106523, 12263788, 845208, 860776]"
195,759,"[986912, 1091365, 1005186, 1120741, 874736]"
196,37,"[1097001, 844165, 6533889, 1053690, 916381]"
197,1484,"[1058997, 1119051, 1110843, 866227, 1102949]"
198,1767,"[986912, 1110572, 1085604, 1053690, 844165]"
199,1358,"[1107553, 1106523, 8090532, 1080414, 1003188]"
200,558,"[1048462, 1106523, 1015247, 883932, 870547]"
201,2263,"[849843, 986912, 866227, 1005186, 976998]"
202,246,"[1070820, 862349, 873627, 866140, 952317]"
203,916,"[1058997, 5584027, 1075368, 5590287, 5588666]"
204,823,"[882441, 1120741, 1108168, 1091365, 1132770]"
205,1620,"[1110572, 1133018, 1106523, 8205218, 1029624]"
206,2467,"[1058997, 1126899, 916767, 1036501, 5590287]"
207,2086,"[1107553, 879755, 868764, 986912, 834484]"
208,1383,"[1077975, 8177622, 1075368, 8090521, 1095275]"
209,1564,"[866227, 1028816, 971922, 930118, 1037863]"
210,2352,"[909714, 1003600, 1133018, 1006184, 847789]"
211,358,"[5569230, 1110572, 873627, 1106523, 872137]"
212,2199,"[1126899, 916993, 1058997, 1055853, 1101010]"
213,802,"[1005186, 908531, 986912, 873627, 8090537]"
214,747,"[1058997, 1005186, 908531, 1015247, 909894]"
215,386,"[1095275, 918733, 868764, 1133018, 849843]"
216,1164,"[1070820, 1077975, 986947, 1062002, 1055853]"
217,1445,"[909714, 6034857, 951412, 8090509, 1119051]"
218,1479,"[879755, 989101, 1070015, 1029743, 831536]"
219,285,"[849843, 6533765, 1082212, 923746, 995242]"
220,563,"[1005186, 1085604, 8090521, 1075368, 852317]"
221,1142,"[995965, 861272, 6534166, 908318, 6602697]"
222,1529,"[1041259, 1058997, 6533765, 6534178, 973861]"
223,2023,"[5569374, 7441391, 8090509, 826249, 1107553]"
224,744,"[862349, 903325, 1056509, 1058997, 1024306]"
225,2147,"[1051516, 1056651, 1089392, 873627, 1106523]"
226,2429,"[1076875, 860776, 1037894, 995785, 5585510]"
227,2334,"[1075368, 1036501, 1005186, 951590, 1029743]"
228,1729,"[1110843, 1075368, 1056651, 1092026, 893501]"
229,1751,"[1070820, 862349, 861272, 1053690, 9527290]"
230,2462,"[916993, 901062, 6034857, 961554, 903325]"
231,215,"[895540, 8011397, 916993, 1005186, 861445]"
232,2350,"[951590, 910032, 9527290, 1132771, 863802]"
233,784,"[5569230, 1110572, 1119051, 825541, 5569471]"
234,1535,"[844165, 1005186, 832678, 1053763, 879755]"
235,800,"[995965, 12263788, 989101, 9677202, 8090537]"
236,1558,"[5569374, 1006184, 1041259, 1005186, 1075368]"
237,484,"[1110843, 1050851, 1005186, 1117514, 839849]"
238,377,"[1126899, 1082212, 1082185, 995785, 880150]"
239,2065,"[8090521, 1101173, 1037840, 938700, 8090509]"
240,771,"[953476, 868764, 940947, 1026118, 1119051]"
241,1159,"[1119051, 8090532, 5585510, 870515, 1107553]"
242,604,"[862349, 5569374, 883932, 1112238, 1127831]"
243,2003,"[1058997, 5569471, 1082212, 1051211, 879528]"
244,27,"[1003600, 861445, 7441391, 986912, 949616]"
245,614,"[1082212, 1062002, 879755, 878996, 860776]"
246,1604,"[832678, 1051211, 986912, 879528, 1050229]"
247,278,"[999971, 870515, 824005, 1046262, 921744]"
248,1015,"[5585735, 5584007, 5585635, 857503, 5585727]"
249,672,"[849843, 862349, 908531, 879755, 916993]"
250,87,"[900802, 1037863, 845208, 962568, 1082185]"
251,105,"[1101010, 847789, 1005186, 879528, 1043751]"
252,8,"[5569471, 1005186, 1110843, 862349, 5569230]"
253,211,"[962229, 1133018, 7440663, 832678, 878302]"
254,2267,"[1126899, 824005, 1041259, 913210, 1058997]"
255,311,"[1091365, 1005186, 1106523, 5582789, 5584007]"
256,703,"[1404121, 1058997, 5569230, 946995, 6534178]"
257,1676,"[1028816, 6534166, 968215, 1041259, 825541]"
258,95,"[6533889, 849843, 908531, 995242, 1029743]"
259,612,"[1065593, 873627, 953476, 1106301, 925626]"
260,1941,"[947798, 1133018, 1080414, 890695, 1085604]"
261,2380,"[861445, 909894, 1132770, 1122358, 995242]"
262,1010,"[862349, 1052912, 1091365, 6534178, 901062]"
263,1188,"[1107553, 1005186, 1133018, 925626, 883404]"
264,1105,"[5569230, 1082185, 6534178, 1029743, 995242]"
265,2048,"[1075368, 944534, 1106523, 8090537, 929668]"
266,1376,"[6534166, 6533889, 8090537, 6534178, 883404]"
267,1391,"[873627, 1070015, 8011397, 916993, 1107553]"
268,2426,"[844165, 995242, 1009449, 976300, 844179]"
269,598,"[8090532, 824005, 965766, 6533765, 6034857]"
270,840,"[1112238, 883404, 903325, 1029743, 1040807]"
271,1113,"[1126899, 1041259, 1116821, 1028816, 1058997]"
272,1883,"[1092026, 933835, 1085604, 8090521, 1003600]"
273,1474,"[1070015, 908846, 1053690, 933835, 832678]"
274,489,"[986912, 5588666, 5584007, 5585727, 5590287]"
275,104,"[933835, 1132771, 5569471, 838186, 1101010]"
276,1020,"[1070820, 885290, 929668, 995785, 1022254]"
277,1837,"[8090537, 8090521, 909714, 1003600, 965842]"
278,2351,"[821083, 1089392, 909714, 1056651, 5584027]"
279,1719,"[1070820, 916993, 940947, 986947, 840361]"
280,1581,"[1114597, 849843, 909714, 5569471, 1122358]"
281,1856,"[866227, 986912, 1028816, 861445, 1095275]"
282,1839,"[1113588, 9527290, 866140, 1082212, 1044078]"
283,2485,"[893501, 5569471, 927191, 879755, 907631]"
284,956,"[6534166, 1070820, 821083, 849843, 866227]"
285,250,"[844165, 1056509, 1076875, 951590, 1101010]"
286,1942,"[1110572, 879755, 5585510, 5569230, 1133018]"
287,464,"[5569374, 856772, 995242, 993638, 1041157]"
288,805,"[1070015, 868764, 844165, 870547, 893018]"
289,702,"[8177622, 865456, 1065593, 8090521, 6534178]"
290,133,"[1132771, 1127831, 1062002, 1003600, 1022254]"
291,454,"[1023958, 5569230, 1026118, 904360, 908531]"
292,1467,"[1085604, 866227, 1080414, 861445, 1110572]"
293,2057,"[862349, 1070820, 1053690, 913210, 900802]"
294,430,"[893501, 953476, 5569230, 962229, 1110572]"
295,233,"[1055283, 995242, 1029743, 1082185, 6534178]"
296,1707,"[1085604, 861445, 866227, 962229, 1080414]"
297,1402,"[1119051, 1057260, 821083, 969866, 1041259]"
298,2275,"[1026118, 987562, 861272, 883404, 952317]"
299,1111,"[1028816, 1003188, 879755, 1106523, 854852]"
300,2340,"[1095275, 1056651, 1026118, 927191, 1033142]"
301,1326,"[6533765, 868764, 1029743, 1132771, 8090532]"
302,863,"[1070015, 1005186, 1091365, 927191, 1077975]"
303,2084,"[862349, 6534166, 894236, 866227, 890610]"
304,67,"[971922, 862349, 933835, 833025, 1051516]"
305,1621,"[1092026, 1132770, 918733, 832678, 6773204]"
306,1952,"[976998, 1038217, 1077555, 1029743, 834117]"
307,304,"[868764, 873627, 1107553, 1029743, 6534178]"
308,2169,"[1126899, 1404121, 857849, 893501, 1023958]"
309,178,"[1085604, 1056651, 873627, 1092026, 1040807]"
310,928,"[861445, 1039156, 1037863, 835098, 908531]"
311,415,"[970119, 911812, 9526410, 1077490, 1082185]"
312,621,"[893501, 1132771, 896085, 1081177, 1101010]"
313,2088,"[893501, 1022003, 1106301, 953476, 1029743]"
314,1040,"[1126899, 1075368, 8090532, 916993, 1095275]"
315,1168,"[908531, 983584, 916993, 1040807, 951412]"
316,2272,"[1040807, 12263788, 1037863, 940947, 1055863]"
317,2307,"[849843, 5585635, 5588666, 5585727, 5587133]"
318,1930,"[1085604, 1122358, 1075368, 962229, 5568729]"
319,822,"[1005186, 874736, 882441, 940947, 1132770]"
320,1180,"[1033615, 849843, 985119, 6533765, 1113588]"
321,1832,"[1058997, 1137775, 989101, 885290, 951412]"
322,1298,"[999971, 859010, 962229, 883404, 1094955]"
323,1074,"[8011397, 1058997, 908531, 1117514, 1134522]"
324,2208,"[5569230, 951590, 832678, 940947, 1106523]"
325,1627,"[6533765, 865330, 1110572, 1062966, 940947]"
326,940,"[882441, 1120741, 976998, 9420312, 5591038]"
327,708,"[1117514, 1029743, 1007195, 845208, 1132763]"
328,2406,"[1126899, 896085, 1075368, 5569374, 1053690]"
329,1418,"[862349, 1070820, 990797, 976998, 986947]"
330,1963,"[5569374, 893501, 5569471, 862349, 843756]"
331,1219,"[894236, 1039156, 1077975, 921744, 874736]"
332,2032,"[1070820, 862349, 860975, 878996, 883404]"
333,706,"[5569471, 834117, 893501, 1053690, 970119]"
334,1673,"[1036501, 1053690, 1075368, 1056509, 951590]"
335,303,"[951590, 866227, 909894, 5569230, 854852]"
336,729,"[1082185, 6534178, 1029743, 995242, 1106523]"
337,590,"[1053690, 1065593, 951590, 949616, 7441391]"
338,517,"[1126899, 1003600, 1028816, 872137, 908846]"
339,1775,"[1126899, 893501, 1058997, 5569471, 1005186]"
340,596,"[8090537, 8090521, 860776, 834484, 951590]"
341,2247,"[872137, 1101173, 832678, 1033615, 985119]"
342,1066,"[989101, 986912, 885290, 896085, 1118393]"
343,676,"[1107553, 1085604, 1080414, 1102959, 1124729]"
344,1321,"[1016800, 883404, 8205218, 1106523, 1113588]"
345,1759,"[1126899, 861445, 1005186, 986912, 8160319]"
346,1961,"[925626, 820165, 937626, 1106523, 849843]"
347,2125,"[883003, 911812, 6534178, 1051211, 940947]"
348,671,"[951590, 1097001, 1056509, 908531, 982790]"
349,460,"[1082185, 1058997, 894236, 7024990, 1081177]"
350,2284,"[1070820, 5569471, 6533889, 872137, 866227]"
351,2159,"[6533765, 849843, 1133018, 847789, 8090537]"
352,1781,"[1028816, 6534166, 861272, 878996, 930118]"
353,325,"[908846, 5569471, 909894, 893501, 896085]"
354,134,"[5569374, 913210, 5569845, 8090537, 8177622]"
355,661,"[1110572, 987480, 995242, 1037894, 928049]"
356,219,"[862349, 1127831, 879528, 824005, 1024306]"
357,1205,"[1075368, 1070015, 1053690, 1092026, 951590]"
358,2004,"[999104, 1039156, 8177622, 951590, 819978]"
359,1684,"[1106523, 8090521, 1085604, 892008, 8090537]"
360,1289,"[1110572, 1085604, 892008, 1037894, 1124729]"
361,1375,"[1119051, 1051516, 927191, 6602697, 951412]"
362,394,"[986912, 1026118, 885290, 834484, 1133018]"
363,712,"[1070820, 1056509, 5569374, 870515, 872137]"
364,1917,"[976998, 12263788, 896085, 923746, 1106523]"
365,68,"[1085604, 861445, 1080414, 1037894, 879755]"
366,1178,"[834484, 1116821, 995242, 840361, 914190]"
367,1947,"[1126899, 933835, 1040807, 845193, 937626]"
368,1548,"[976998, 953476, 1053690, 856252, 916381]"
369,1495,"[986912, 976998, 1022254, 1003600, 907014]"
370,121,"[1033615, 1039156, 1070015, 1075470, 1053763]"
371,1270,"[1026118, 1028816, 1106523, 908846, 5569845]"
372,1325,"[999104, 1051516, 861272, 1041259, 903325]"
373,1509,"[1095275, 1016800, 1042438, 926905, 1029743]"
374,957,"[6534166, 6533765, 848355, 5592931, 986912]"
375,1285,"[5569230, 1101173, 1039156, 985999, 856772]"
376,1817,"[995242, 1043301, 849843, 870547, 872137]"
377,2034,"[1126899, 1058997, 6773204, 995785, 903325]"
378,58,"[1095275, 1058997, 866227, 5569374, 909714]"
379,1609,"[6533889, 1070820, 951590, 6534166, 1127831]"
380,1211,"[6534166, 1070820, 862349, 949616, 5585510]"
381,915,"[1057260, 1132770, 880150, 1077555, 1112238]"
382,1385,"[1033615, 1122358, 844165, 985119, 849843]"
383,263,"[1039156, 1029743, 1005186, 951590, 940947]"
384,1792,"[1075368, 1039156, 962229, 1101010, 933835]"
385,946,"[909894, 1132771, 1133018, 849843, 1005186]"
386,1379,"[962229, 862732, 5569374, 1029743, 6534178]"
387,2497,"[870515, 8090532, 860776, 8090537, 900802]"
388,2312,"[1070820, 903325, 862349, 1091365, 1005186]"
389,1528,"[1075368, 844165, 1053690, 983584, 1120741]"
390,2252,"[916767, 1048462, 1058997, 893501, 6534178]"
391,876,"[916993, 849843, 1058997, 929668, 976998]"
392,2190,"[1039156, 976998, 1133018, 908531, 962229]"
393,1932,"[1076875, 951590, 1053690, 1013321, 6534178]"
394,1584,"[951590, 1053690, 962229, 1106523, 1055863]"
395,1764,"[1126899, 1075368, 1058997, 5569374, 1028816]"
396,803,"[969866, 865178, 1044078, 976998, 944139]"
397,641,"[1126899, 1070820, 862349, 1028816, 1058997]"
398,617,"[1070820, 1126899, 970119, 1116821, 860776]"
399,421,"[862349, 1058997, 1126899, 6534178, 1110572]"
400,2386,"[1070015, 1016800, 921744, 1037840, 1076875]"
401,109,"[1058997, 989101, 1051516, 880150, 835098]"
402,871,"[1082212, 834117, 870515, 866211, 1009449]"
403,1816,"[1070820, 1056509, 866227, 1077555, 6534178]"
404,1451,"[1070820, 862349, 824005, 893501, 6534178]"
405,1773,"[5569471, 951412, 1117514, 865178, 6534178]"
406,600,"[5569230, 951590, 6533889, 5569471, 5569845]"
407,287,"[1106523, 1033615, 9527290, 985119, 952317]"
408,1650,"[1137688, 6034857, 1116821, 1041259, 903325]"
409,1598,"[986912, 951590, 1005186, 1101010, 908531]"
410,2335,"[860975, 12302069, 1110572, 1015247, 1057260]"
411,2083,"[1070820, 885290, 933835, 862349, 1005186]"
412,922,"[1058997, 1028816, 1039156, 908846, 1126899]"
413,694,"[1037840, 844165, 893501, 1029743, 826249]"
414,252,"[985119, 844165, 7167218, 5995423, 951590]"
415,40,"[1056651, 903325, 1037863, 927191, 840361]"
416,523,"[1057260, 1005186, 1056651, 1110572, 894236]"
417,1536,"[1075368, 8090532, 8090509, 1126899, 5569471]"
418,1291,"[962229, 1132771, 1106523, 826249, 1005186]"
419,1248,"[951590, 1106523, 866227, 845193, 6773204]"
420,269,"[962229, 1131438, 5569845, 883963, 1015247]"
421,2297,"[1009449, 1041259, 1051516, 1119051, 1023720]"
422,1740,"[1075368, 6533889, 1005186, 1056509, 1127831]"
423,420,"[918733, 870780, 900491, 1053763, 897954]"
424,1267,"[1005186, 862349, 861272, 970119, 1119051]"
425,2244,"[1080414, 985119, 962229, 5569327, 907631]"
426,2031,"[1120741, 1133018, 849843, 860975, 832678]"
427,1431,"[1110572, 866140, 832678, 999104, 1037894]"
428,1058,"[937626, 985119, 1005186, 1085604, 879755]"
429,2055,"[944139, 1133018, 1041259, 1051516, 1022003]"
430,1575,"[862349, 916993, 1070820, 900802, 901062]"
431,1343,"[1005186, 1085604, 1095275, 832678, 879755]"
432,1192,"[5668996, 849843, 1133018, 831536, 989101]"
433,1916,"[885290, 1070015, 969866, 1053763, 6602697]"
434,36,"[861445, 962229, 1096317, 5587133, 5590287]"
435,1756,"[1075368, 1070820, 1126899, 5590287, 5584007]"
436,2229,"[862349, 1058997, 1057260, 1041259, 893501]"
437,1508,"[1058997, 1126899, 909894, 847982, 916993]"
438,253,"[951590, 879755, 933835, 1062966, 1113588]"
439,1995,"[901062, 1028816, 854852, 923746, 1106523]"
440,1098,"[5585510, 862349, 901062, 908531, 5582789]"
441,1864,"[1057260, 965842, 1024306, 1051516, 903325]"
442,1901,"[1005186, 1085604, 986912, 1124729, 1033615]"
443,1476,"[6533889, 1058997, 6534166, 995242, 843756]"
444,1197,"[8090521, 8090532, 1137775, 971922, 951590]"
445,2378,"[883404, 874736, 1053690, 854852, 1127831]"
446,52,"[1053690, 5569230, 1116821, 857503, 1119051]"
447,381,"[1075368, 883404, 1128016, 1071939, 1005186]"
448,1919,"[1113588, 1005186, 1065593, 908531, 904360]"
449,1785,"[1126899, 1119051, 862349, 847789, 1058997]"
450,1347,"[6533889, 1107553, 861445, 1037840, 1037894]"
451,356,"[916767, 1075368, 1113588, 882441, 947798]"
452,1884,"[883932, 8160319, 7441391, 1118393, 856252]"
453,2122,"[1091365, 1006184, 949023, 951590, 6534178]"
454,2347,"[8090521, 908531, 5569471, 994928, 1003188]"
455,1527,"[951590, 1101010, 5569471, 1070820, 6534178]"
456,2075,"[1065593, 6533889, 925626, 1023958, 1085604]"
457,1654,"[894236, 1028816, 893501, 5569471, 1070820]"
